datetime,co,no,no2,nox,o3,pm10,pm25,so2,temp,rhum,prcp,wdir,wspd,wpgt,pres,cldc,coco
2023-01-09 20:00:00+00:00,1.0036666666666667,,0.017233333333333333,,0.0387,64.33333333333333,19.5,0.0078000000000000005,23.366666666666664,48.0,0.0,117.66666666666667,12.5,,1019.6,5.666666666666667,2.3333333333333335
2023-01-09 23:00:00+00:00,1.1620000000000001,,0.020819999999999998,,0.030833333333333334,68.4,18.333333333333332,0.00732,22.03333333333333,52.666666666666664,0.0,123.0,12.200000000000001,,1019.8666666666667,5.333333333333333,2.3333333333333335
2023-01-10 02:00:00+00:00,1.432,,0.029259999999999998,,0.012833333333333334,71.4,19.802500000000002,0.0034000000000000002,17.866666666666667,72.0,0.0,137.33333333333334,5.966666666666666,,1021.1999999999999,1.0,1.6666666666666667
2023-01-10 03:00:00+00:00,1.3679999999999999,,0.029320000000000002,,0.011666666666666667,81.4,18.455,0.00334,17.866666666666667,76.0,0.0,133.33333333333334,6.733333333333333,,1020.8000000000001,0.6666666666666666,1.0
2023-01-10 04:00:00+00:00,1.418,,0.0315,,0.008833333333333334,75.6,19.4325,0.00388,16.5,77.0,0.0,129.33333333333334,5.533333333333334,,1021.4,1.0,1.0
2023-01-10 05:00:00+00:00,1.3980000000000001,,0.029859999999999998,,0.008333333333333333,85.0,20.322499999999998,0.0031399999999999996,15.933333333333332,81.66666666666667,0.0,227.0,3.966666666666667,,1021.4666666666667,1.3333333333333333,1.3333333333333333
2023-01-10 06:00:00+00:00,1.6199999999999999,,0.0317,,0.006833333333333334,83.4,21.355,0.00485,15.9,88.66666666666667,0.0,215.0,4.033333333333334,,1020.4666666666667,1.6666666666666667,1.3333333333333333
2023-01-10 07:00:00+00:00,1.552,,0.03074,,0.006166666666666667,101.4,24.6725,0.0032199999999999998,14.833333333333334,90.33333333333333,0.0,281.3333333333333,5.8,,1020.3000000000001,1.6666666666666667,2.0
2023-01-10 08:00:00+00:00,1.5219999999999998,,0.028559999999999995,,0.006333333333333333,91.8,23.125,0.00294,13.766666666666666,94.66666666666667,0.0,289.6666666666667,7.8,,1020.0,1.6666666666666667,2.0
2023-01-10 09:00:00+00:00,1.512,,0.028599999999999997,,0.0072499999999999995,95.0,25.795,0.0029,13.133333333333333,94.0,0.0,276.3333333333333,8.733333333333333,,1019.7333333333332,1.6666666666666667,2.0
2023-01-10 10:00:00+00:00,1.516,,0.030580000000000003,,0.007666666666666666,103.4,30.9675,0.00304,12.466666666666667,96.66666666666667,0.0,310.6666666666667,7.8,,1019.8000000000001,1.6666666666666667,1.3333333333333333
2023-01-10 14:00:00+00:00,2.114,,0.03114,,0.006333333333333333,144.6,41.635,0.0033799999999999998,13.866666666666667,85.0,0.0,305.6666666666667,7.333333333333333,,1021.1999999999999,1.3333333333333333,1.6666666666666667
2023-01-10 17:00:00+00:00,1.6920000000000002,,0.04122,,0.018166666666666668,155.8,50.5,0.0051,22.733333333333334,51.666666666666664,0.0,315.3333333333333,7.0,,1020.6,0.0,1.0
2023-01-10 18:00:00+00:00,1.652,,0.0424,,0.028833333333333332,147.6,51.802499999999995,0.0054800000000000005,25.733333333333334,43.333333333333336,0.0,200.0,7.866666666666667,,1019.1,0.0,1.0
2023-01-10 19:00:00+00:00,1.532,,0.03584,,0.0438,146.0,45.38,0.00494,27.266666666666666,33.333333333333336,0.0,186.33333333333334,5.833333333333333,,1017.6,0.3333333333333333,1.0
2023-01-10 20:00:00+00:00,1.48,,0.03914,,0.0506,130.0,40.265,0.00574,28.7,27.666666666666668,0.0,149.0,9.833333333333334,,1016.4,0.3333333333333333,1.0
2023-01-10 21:00:00+00:00,1.4300000000000002,,0.03438,,0.0566,127.8,35.195,0.00428,29.03333333333333,26.666666666666668,0.0,140.33333333333334,14.266666666666666,,1015.7333333333332,0.3333333333333333,1.0
2023-01-10 23:00:00+00:00,1.242,,0.02616,,0.059399999999999994,102.2,26.4525,0.00496,27.3,31.0,0.0,137.33333333333334,14.533333333333333,,1015.9333333333334,0.0,1.0
2023-01-11 00:00:00+00:00,1.326,,0.032619999999999996,,0.040999999999999995,81.8,19.84,0.0034799999999999996,25.133333333333336,45.666666666666664,0.0,120.0,8.4,,1015.7333333333332,0.0,1.0
2023-01-11 01:00:00+00:00,1.5379999999999998,,0.03968,,0.0264,80.8,13.09,0.00356,21.400000000000002,50.333333333333336,0.0,142.66666666666666,8.666666666666666,,1016.4666666666667,0.3333333333333333,1.0
2023-01-11 02:00:00+00:00,1.654,,0.04414,,0.017599999999999998,96.0,18.7,0.00332,20.533333333333335,54.0,0.0,153.0,9.6,,1016.9666666666667,0.3333333333333333,1.0
2023-01-11 03:00:00+00:00,1.814,,0.04456,,0.013600000000000001,115.0,19.9775,0.0054800000000000005,20.733333333333334,62.666666666666664,0.0,179.33333333333334,8.566666666666666,,1015.8666666666667,0.0,1.0
2023-01-11 04:00:00+00:00,1.6079999999999999,,0.0397,,0.0124,118.0,19.96,0.0058000000000000005,17.933333333333334,67.0,0.0,122.33333333333333,9.466666666666667,,1017.2666666666668,0.6666666666666666,1.0
2023-01-11 05:00:00+00:00,1.364,,0.03372,,0.014249999999999999,106.2,19.755,0.0037,18.066666666666666,67.0,0.0,133.66666666666666,8.533333333333333,,1017.2666666666668,1.3333333333333333,1.0
2023-01-11 06:00:00+00:00,1.47,,0.03766,,0.0094,76.2,19.0,0.00344,18.2,75.66666666666667,0.0,126.66666666666667,8.766666666666666,,1016.1333333333333,1.0,2.0
