feature,importance
pm25_roll6,38.08680142957854
pm_ratio,17.438526517040053
pm10_diff1,7.259861320014293
pm25_diff1,6.3107865894094415
o3_roll6,5.4983088976253445
pm10_roll6,4.1430502999849805
no2_roll6,3.014431532395628
hour_cos,2.111298512433953
cldc_76394,0.9714931202135886
co_roll6,0.9147954115543268
o3_roll24,0.9040866882601506
nox_roll6,0.8254191307932718
rhum_mean,0.7994850686024312
hour,0.6681945290209607
pm25_roll24,0.6414216706564946
no_roll6,0.635674421997609
rhum_76394,0.6249754811519903
rhum_MMMY0,0.6165777501380825
pm10_roll24,0.5809151324925172
co_diff1,0.5798883636769621
lon,0.452164414242786
no2_roll24,0.44241160662280343
lat,0.3818872791869396
no_roll24,0.36005677904163236
o3_diff1,0.35583466370056555
temp_76393,0.3292132724417176
hour_sin,0.3243622365274184
temp_MMMY0,0.3150637984142513
no_diff1,0.2783513203321127
temp_mean,0.25492178709360797
pres_76394,0.2455540522132116
day_of_week,0.23614006710929222
no2_diff1,0.2151673933209083
pres_MMMY0,0.21304722713811033
so2_roll6,0.20993131130962983
wdir_MMMY0,0.20484869916222948
rhum_76393,0.20136090619770883
nox_roll24,0.18450710649636054
pres_76393,0.1830932363063033
wdir_76393,0.1826509979257785
location_id,0.17292795225964055
so2_roll24,0.15226000594050929
month_cos,0.14480621745010464
wspd_76393,0.13705656465215288
month,0.13044785240956616
co_roll24,0.12920349524291233
wdir_76394,0.12615568705306188
wspd_mean,0.11743061184852169
so2_diff1,0.10466258553433468
coco_76394,0.10326051414834429
temp_76394,0.08969114653614688
month_sin,0.06948787799675456
coco_MMMY0,0.053453525472527214
wspd_76394,0.05117996935901268
cldc_MMMY0,0.04626794918131731
wspd_MMMY0,0.0448554272204695
nox_diff1,0.0429872309938679
cldc_76393,0.034839746891588315
coco_76393,0.026503714622315117
is_weekend,0.016273015033195996
prcp_MMMY0,0.005282057306728625
prcp_76394,0.0026492437465030056
prcp_76393,0.0017575872764786734
